S,I,R,SuperSpreader
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,24.0,35.0,2.0
151.0,23.0,36.0,2.0
151.0,23.0,36.0,2.0
151.0,23.0,36.0,2.0
151.0,23.0,36.0,2.0
151.0,23.0,36.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,22.0,37.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,21.0,38.0,2.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
151.0,20.0,39.0,1.0
